recipe_id,nutrition_id,value
137739,10,51.5
31490,12,173.4
112140,14,269.8
59389,15,368.1
44061,15,352.9
5289,12,160.2
25274,16,380.7
67888,18,1109.5
70971,19,4270.8
75452,19,2669.3
109439,11,79.2
42198,18,734.1
67547,16,462.4
107517,15,315.8
39959,10,8.2
63986,11,105.7
43026,11,94.0
23933,14,232.7
8559,16,395.4
23850,12,174.2
76808,11,126.0
24701,10,64.8
83873,15,335.8
107699,19,1663.3
49262,18,1290.4
48156,13,182.7
54272,15,295.6
47366,15,346.9
37073,11,132.6
44123,18,804.7
27087,12,174.4
59952,16,456.8
93249,19,1649.8
54100,13,190.9
67664,12,164.6
87098,14,276.2
25775,12,166.1
33165,12,152.5
38798,10,53.8
22123,17,647.6
90921,18,783.4
93959,12,172.8
93958,12,171.8
58224,14,223.2
33606,15,279.2
94710,14,241.0
35173,18,816.9
83025,19,5467.4
52804,17,612.1
108414,16,400.2
26995,18,724.4
53402,16,370.5
59632,18,794.2
22526,17,575.3
100870,18,987.8
84797,19,1615.2
35653,12,175.2
32169,14,255.2
24478,10,3.1
44045,10,67.1
60219,15,325.3
81185,11,115.9
30131,13,199.2
63593,10,22.9
43164,17,510.6
30300,10,3.0
78655,13,181.1
74805,15,276.3
71635,16,387.6
38276,16,477.1
97052,17,517.2
26835,16,456.6
32271,19,1389.5
107229,17,617.5
5060,13,180.7
42570,14,213.6
52443,13,183.3
35595,10,33.1
108804,14,227.2
83950,18,1260.7
19208,11,110.1
64302,17,572.6
35964,17,580.0
71457,14,253.0
95926,14,238.0
103948,17,692.2
99024,11,132.4
64045,17,649.6
41756,11,114.6
112959,10,12.8
83062,19,3043.4
98930,13,190.5
83133,13,179.3
39947,11,140.4
44895,19,5728.3
39363,13,175.7
62368,20,6007.2
111875,15,354.2
42522,13,184.8
34930,16,449.2
