id,name,minutes,n_steps,vegan_vegetarian
137739,arriba   baked winter squash mexican style,55,11,Vegetarian
31490,a bit different  breakfast pizza,30,9,NonVegetarian
112140,all in the kitchen  chili,130,6,NonVegetarian
59389,alouette  potatoes,45,11,NonVegetarian
44061,amish  tomato ketchup  for canning,190,5,Vegetarian
5289,apple a day  milk shake,0,4,NonVegetarian
25274,aww  marinated olives,15,4,Vegan
67888,backyard style  barbecued ribs,120,10,NonVegetarian
70971,bananas 4 ice cream  pie,180,8,NonVegetarian
75452,beat this  banana bread,70,12,NonVegetarian
109439,berry  good sandwich spread,5,2,NonVegetarian
42198,better than sex  strawberries,1460,8,NonVegetarian
67547,better then bush s  baked beans,2970,9,NonVegetarian
107517,boat house  collard greens,525,7,NonVegetarian
39959,calm your nerves  tonic,5,6,NonVegetarian
63986,chicken lickin  good  pork chops,500,5,NonVegetarian
43026,chile rellenos,45,9,Vegetarian
23933,chinese  candy,15,4,NonVegetarian
8559,chinese  chop suey,70,8,NonVegetarian
23850,cream  of cauliflower soup  vegan,110,10,Vegan
76808,cream  of spinach soup,45,9,NonVegetarian
24701,cream  of spinach soup  vegan,55,10,Vegan
83873,crispy crunchy  chicken,35,8,NonVegetarian
107699,deep fried dessert thingys,20,20,NonVegetarian
49262,easiest ever  hollandaise sauce,25,7,NonVegetarian
48156,emotional balance  spice mixture,10,2,Vegetarian
54272,fool the meat eaters  chili,40,9,Vegan
47366,forgotten  minestrone,495,5,NonVegetarian
37073,fried  potatoes,40,14,NonVegetarian
44123,george s at the cove  black bean soup,90,11,NonVegetarian
27087,get the sensation  brownies,70,11,Vegetarian
59952,global gourmet  taco casserole,55,11,NonVegetarian
93249,grilled  ranch bread,13,4,NonVegetarian
54100,grilled  venison burgers,26,13,NonVegetarian
67664,healthy for them  yogurt popsicles,10,3,NonVegetarian
87098,homemade  vegetable soup from a can,12,6,NonVegetarian
25775,how i got my family to eat spinach  spinach casserole,50,5,Vegetarian
33165,i can t believe it s low fat  creamy potato salad,30,12,NonVegetarian
38798,i can t believe it s spinach,30,5,NonVegetarian
22123,i don t feel like cooking tonight  casserole,45,6,NonVegetarian
90921,i stole the idea from mirj  sesame noodles,18,8,Vegetarian
93959,i yam what i yam two  muffins,35,10,NonVegetarian
93958,i yam what i yam  muffins,45,10,NonVegetarian
58224,immoral  sandwich filling  loose meat,35,6,NonVegetarian
33606,italian sandwich  pasta salad,25,6,NonVegetarian
94710,italian  fries,15,4,NonVegetarian
35173,italian  gut busters,45,7,NonVegetarian
83025,jeanne s style  birthday cake,230,25,NonVegetarian
52804,jiffy  extra moist carrot cake,50,8,NonVegetarian
108414,jiffy  roasted corn and jalapeno cornbread,35,10,NonVegetarian
26995,keep it going  german friendship cake,14450,13,Vegetarian
53402,killer  lasagna,90,13,NonVegetarian
59632,kitchen sink  egg bake,70,14,NonVegetarian
22526,land of nod  cinnamon buns,35,7,NonVegetarian
100870,leftovers  spaghetti sauce,40,13,NonVegetarian
84797,love is in the air  beef fondue   sauces,25,4,NonVegetarian
35653,make it your way  shortcakes,25,11,NonVegetarian
32169,make that chicken dance  salsa pasta,30,7,NonVegetarian
24478,marijuana  vinegar,20160,5,Vegetarian
44045,mennonite  corn fritters,15,6,Vegetarian
60219,mexican pasta,25,5,NonVegetarian
81185,mock a mole   low fat guacamole,15,7,Vegan
30131,momma s special  marinade,10,4,NonVegetarian
63593,more  more    apple pear jigglers,125,6,NonVegetarian
43164,mr  grant you took half veal prince orloff,120,26,NonVegetarian
30300,munch without guilt  tomatoes,10,3,Vegetarian
78655,my muffuletta sandwich,20,3,NonVegetarian
74805,never weep  whipped cream,5,4,NonVegetarian
71635,no bake  cookie crumble cheesecake,135,8,NonVegetarian
38276,now and later  vegetarian empanadas,90,41,Vegetarian
97052,off the cob  freezer corn,120,15,NonVegetarian
26835,one bowl  perfect pound cake,70,7,Vegetarian
32271,one pot  brownies,40,8,NonVegetarian
107229,open sesame  noodles,28,8,NonVegetarian
5060,philly  waldorf salad,60,4,NonVegetarian
42570,pick me up  party chicken kabobs,30,5,NonVegetarian
52443,pizza  stuffed potato,25,8,NonVegetarian
35595,pour over anything  mushroom gravy,20,6,Vegetarian
108804,put down your fork   tuna and bean salad,120,4,NonVegetarian
83950,real  italian bolognese sauce,160,16,NonVegetarian
19208,red hot  applesauce,135,8,Vegetarian
64302,red  macaroni salad,1470,7,NonVegetarian
35964,rich  hot fudge cake,45,10,NonVegetarian
71457,rise and shine  german fruit pancake,45,11,NonVegetarian
95926,say what   banana sandwich,5,4,Vegetarian
103948,smells like sunday  chicken fricassee with meatballs,90,20,NonVegetarian
99024,smoked  salmon  cracker spread,65,8,NonVegetarian
64045,some like it hot,70,11,Vegetarian
41756,souper  easy sweet   sour meatballs,150,7,NonVegetarian
112959,sour cream  avocado dip  vegan,10,6,Vegan
83062,spicy  banana bread,75,12,NonVegetarian
98930,steamed  chicken cutlets in packages,35,11,NonVegetarian
83133,stove top  bbq  beef or pork ribs,150,1,NonVegetarian
39947,sugared grapes,15,5,NonVegetarian
44895,symphony  brownies,45,10,NonVegetarian
39363,the best  banana bread  or muffins,70,10,NonVegetarian
62368,the best  chocolate chip cheesecake ever,90,12,NonVegetarian
111875,the elvis  smoothie,2,4,Vegetarian
42522,the man s  taco dip,40,6,NonVegetarian
34930,the woiks  dilly burgers,32,8,NonVegetarian
